ad.png アンドラ	2.1377458572387695 6.633774280548096
ae.png アラブ首長国連邦	-1.7888484001159668 -4.14600133895874
af.png アフガニスタン	7.461625099182129 -7.871916770935059
ag.png アンティグア・バーブーダ	-0.44669559597969055 -7.440689563751221
al.png アルバニア	-0.6096588373184204 -8.863327026367188
am.png アルメニア	11.242074966430664 -2.5050837993621826
ao.png アンゴラ	0.3775402903556824 -7.372463226318359
ar.png アルゼンチン	-15.539471626281738 -1.4224337339401245
at.png オーストリア	8.543641090393066 -4.1184186935424805
au.png オーストラリア	13.500741958618164 -4.683510780334473
az.png アゼルバイジャン	-2.7752349376678467 1.7022475004196167
ba.png ボスニア・ヘルツェゴビナ	14.699366569519043 -4.011789798736572
bb.png バルバドス	-5.54208517074585 9.708419799804688
bd.png バングラデシュ	6.374959468841553 7.310238361358643
be.png ベルギー	8.872786521911621 2.624870777130127
bf.png ブルキナファソ	0.7580006718635559 1.265559434890747
bg.png ブルガリア	5.590512275695801 -3.1194565296173096
bh.png バーレーン	-5.4770379066467285 -4.70503044128418
bi.png ブルンジ	-5.452483177185059 -1.377512812614441
bj.png ベナン	1.692049264907837 2.3639190196990967
bn.png ブルネイ	6.894208908081055 1.4952974319458008
bo.png ボリビア	1.562311053276062 2.9844131469726562
br.png ブラジル	3.7987794876098633 2.8499085903167725
bs.png バハマ	-5.486263751983643 10.298176765441895
bt.png ブータン	9.926203727722168 -6.316717624664307
bw.png ボツワナ	-15.928801536560059 -1.0124214887619019
by.png ベラルーシ	8.267943382263184 -7.568630218505859
bz.png ベリーズ	-12.950834274291992 6.612338542938232
ca.png カナダ	9.276321411132812 -5.136325836181641
cd.png コンゴ民主共和国	-5.007287502288818 7.965220928192139
cf.png 中央アフリカ共和国	-5.593758583068848 4.874930381774902
cg.png コンゴ共和国	3.78462290763855 4.049714088439941
ch.png スイス	9.141063690185547 -4.191525459289551
ci.png コートジボワール	5.849007606506348 -3.170374631881714
cl.png チリ	8.625656127929688 -3.180499315261841
cm.png カメルーン	2.32612943649292 3.4849495887756348
cn.png 中華人民共和国	10.02668285369873 -1.6125853061676025
co.png コロンビア	-3.412184715270996 6.88313102722168
cr.png コスタリカ	-8.08161735534668 0.4298275113105774
cu.png キューバ	-9.025215148925781 2.2080841064453125
cv.png カーボベルデ	-8.570426940917969 7.132494926452637
cy.png キプロス	-6.092578887939453 -7.706230640411377
cz.png チェコ共和国	-8.76018238067627 -2.688105821609497
de.png ドイツ	8.861919403076172 2.632328748703003
dj.png ジブチ	-8.368382453918457 4.660915374755859
dk.png デンマーク	-4.956569194793701 -4.061906814575195
dm.png ドミニカ国	2.489682197570801 0.6988199949264526
do.png ドミニカ共和国	-9.256361961364746 -3.5451414585113525
dz.png アルジェリア	4.138137340545654 -2.899794101715088
ec.png エクアドル	-2.1240811347961426 6.740962505340576
ee.png エストニア	-10.543696403503418 4.300718784332275
eg.png エジプト	-1.5635759830474854 -5.520174026489258
eh.png 西サハラ	5.992038726806641 -7.227221965789795
er.png エリトリア	-2.3298966884613037 4.603326320648193
es.png スペイン	0.9410063624382019 5.983635902404785
et.png エチオピア	6.576043128967285 5.1370158195495605
fi.png フィンランド	-10.166293144226074 5.061568260192871
fj.png フィジー	-13.977387428283691 -0.7814879417419434
fm.png ミクロネシア	-15.774153709411621 -0.8600373864173889
fr.png フランス	-3.358065605163574 -1.6243144273757935
ga.png ガボン	-3.4009110927581787 9.208296775817871
gb.png イギリス	-10.705672264099121 -0.281131774187088
gd.png グレナダ	2.6954751014709473 4.510476112365723
ge.png ジョージア	-6.726625919342041 -5.108364105224609
gh.png ガーナ	4.966070652008057 6.711704254150391
gm.png ガンビア	-3.24186110496521 -1.0491747856140137
gn.png ギニア	1.8528996706008911 3.166963577270508
gq.png 赤道ギニア	6.854815483093262 -5.9604997634887695
gr.png ギリシャ	13.982125282287598 -3.5019352436065674
gt.png グアテマラ	-15.387089729309082 -1.5197525024414062
gw.png ギニアビサウ	2.2961862087249756 2.4040896892547607
gy.png ガイアナ	3.2067432403564453 0.767198383808136
hn.png ホンジュラス	-9.73741626739502 6.465826988220215
hr.png クロアチア	11.763031005859375 -4.562561511993408
ht.png ハイチ	-2.927302598953247 -1.1973774433135986
hu.png ハンガリー	0.2547326385974884 -1.8478567600250244
id.png インドネシア	-5.922666072845459 -3.4374032020568848
ie.png アイルランド	5.8506598472595215 -3.243631362915039
il.png イスラエル	-10.431925773620605 5.712420463562012
in.png インド	7.683688640594482 -5.992718696594238
iq.png イラク	-0.6430901885032654 -4.803744792938232
ir.png イラン	8.747374534606934 -8.388803482055664
is.png アイスランド	-9.73579216003418 7.64188814163208
it.png イタリア	0.6360704898834229 -1.8587830066680908
jm.png ジャマイカ	-1.2280535697937012 11.53863525390625
jo.png ヨルダン	0.2814636826515198 -3.8535971641540527
jp.png 日本	-6.578070163726807 -6.099385738372803
ke.png ケニア	4.815199851989746 -7.435939788818359
kg.png キルギス	-0.39694952964782715 4.641732692718506
kh.png カンボジア	12.078841209411621 -5.386276721954346
ki.png キリバス	-11.156493186950684 0.27070602774620056
km.png コモロ	-5.532266139984131 3.9823389053344727
kn.png セントクリストファー・ネイビス	4.862621784210205 1.196908712387085
kp.png 北朝鮮	-6.616183280944824 1.0227991342544556
kr.png 韓国	-3.925478458404541 -8.245357513427734
ks.png コソボ	-8.43460750579834 8.872268676757812
kw.png クウェート	0.28381165862083435 -3.175215005874634
kz.png カザフスタン	-6.809121131896973 10.460890769958496
la.png ラオス	-9.348731994628906 -2.7957215309143066
lb.png レバノン	6.802437782287598 -4.0987677574157715
lc.png セントルシア	-8.187948226928711 8.084863662719727
li.png リヒテンシュタイン	-3.5084285736083984 5.507244110107422
lk.png スリランカ	1.0416805744171143 5.233773231506348
lr.png リベリア	-7.554187774658203 -4.401134967803955
ls.png レソト	2.851252555847168 -3.9808738231658936
lt.png リトアニア	6.433106422424316 6.723484992980957
lu.png ルクセンブルク	-7.733327865600586 0.9607471823692322
lv.png ラトビア	-4.653961658477783 -3.719472646713257
ly.png リビア	0.6856541633605957 -4.8763556480407715
ma.png モロッコ	-3.4493408203125 -3.6244962215423584
mc.png モナコ	-6.293746471405029 -3.4056529998779297
md.png モルドバ	10.441523551940918 2.125714063644409
me.png モンテネグロ	-0.07148654013872147 5.120476722717285
mg.png マダガスカル	0.7393177151679993 -1.7982620000839233
mh.png マーシャル諸島	-10.3562650680542 8.225870132446289
mk.png マケドニア	0.3360542953014374 5.218329906463623
ml.png マリ	1.1512093544006348 8.719325065612793
mm.png ミャンマー	10.174386978149414 -2.963216543197632
mn.png モンゴル	-2.5425522327423096 5.005739688873291
mr.png モーリタニア	1.8319813013076782 10.020159721374512
