#,Name,Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,157,696,62,133,131,16,0.159,0.251,0.375,0.34,0.311,0.425,0.686,0.458,207,2.1,86.1,1.1,11.5
2,Manny Machado,SDP,150,644,32,100,102,9,0.098,0.207,0.234,0.337,0.298,0.366,0.531,0.382,152,3,41.9,6.9,7.4
3,Nolan Arenado,STL,148,620,30,73,103,5,0.084,0.116,0.241,0.29,0.293,0.358,0.533,0.381,151,-1.6,35.3,13.3,7.3
4,Paul Goldschmidt,STL,151,651,35,106,115,7,0.121,0.217,0.26,0.368,0.317,0.404,0.578,0.419,177,3,61.6,-15.8,7.1
5,Freddie Freeman,LAD,159,708,21,117,100,13,0.119,0.144,0.186,0.359,0.325,0.407,0.511,0.393,157,5.4,52.6,-9.2,7.1
6,Francisco Lindor,NYM,161,706,26,98,107,16,0.084,0.188,0.179,0.301,0.27,0.339,0.449,0.342,127,3.3,25.4,15.2,6.8
7,Yordan Alvarez,HOU,135,561,37,95,97,1,0.139,0.189,0.306,0.32,0.306,0.406,0.613,0.427,185,-0.6,52.8,-6.7,6.7
8,Jose Altuve,HOU,141,604,28,103,57,18,0.109,0.144,0.233,0.315,0.3,0.387,0.533,0.397,164,-1.5,41.8,1.6,6.6
9,Mookie Betts,LAD,142,639,35,117,82,12,0.086,0.163,0.264,0.272,0.269,0.34,0.533,0.373,144,4.3,37.2,3.5,6.5
10,J.T. Realmuto,PHI,139,562,22,75,84,21,0.073,0.212,0.202,0.318,0.276,0.342,0.478,0.354,128,6.6,24.9,18,6.5
11,Dansby Swanson,ATL,162,696,25,99,96,18,0.07,0.261,0.17,0.348,0.277,0.329,0.447,0.337,116,3.1,15.7,21.5,6.4
12,Trea Turner,LAD,160,708,21,101,100,27,0.064,0.185,0.169,0.342,0.298,0.343,0.466,0.35,128,6.5,29.5,7.1,6.3
13,Jose Ramirez,CLE,157,685,29,90,126,20,0.101,0.12,0.235,0.279,0.28,0.355,0.514,0.363,139,6,36,1.1,6.2
14,Andres Gimenez,CLE,146,557,17,66,69,20,0.061,0.201,0.169,0.353,0.297,0.371,0.466,0.364,140,3.4,28.3,12,6.1
15,Xander Bogaerts,BOS,150,631,15,84,73,8,0.09,0.187,0.149,0.362,0.307,0.377,0.456,0.363,134,4.7,28.6,9.1,6.1
16,Mike Trout,LAA,119,499,40,85,80,1,0.108,0.279,0.347,0.323,0.283,0.369,0.63,0.418,176,-0.3,42.4,-0.6,6.1
17,Jeff McNeil,NYM,148,589,9,73,62,4,0.068,0.104,0.128,0.353,0.326,0.382,0.454,0.365,143,2,31.3,4.5,5.8
18,Tommy Edman,STL,153,630,13,95,57,32,0.073,0.176,0.135,0.308,0.265,0.324,0.4,0.318,108,8.4,14.2,18.6,5.7
19,Austin Riley,ATL,159,693,38,90,93,2,0.082,0.242,0.255,0.315,0.273,0.349,0.528,0.377,142,-1.7,32.5,-3,5.5
